,num_iters,km_perturb,kc_perturb,loss,k1,k2,theta1,theta2
0,500,0.5,0.5,0.07596702567591726,0.00023831678790204076,7.987864060988173e-05,5.628425795691836,9.955806649718859
1,500,0.75,0.5,0.07798823773632038,0.0005731779374016628,6.817072456479795e-05,3.9723242530506067,9.569165361144286
2,500,0.9,0.5,0.07835348225188506,0.0008536105163431119,6.136657301457596e-05,4.043432294796604,9.978494832294194
3,500,0.95,0.5,0.07961008014642441,0.00039560206186362056,5.1188679724167724e-05,7.5030427007815295,9.023573166322812
4,500,1.05,0.5,0.0813708564668739,0.0007057598583922941,3.7833931794568115e-05,7.4765595977891985,1.7416776254980013
5,500,1.1,0.5,0.07956986306044017,0.0009148336353860725,4.061548307872313e-05,7.699176102390492,9.206889157203902
6,500,1.25,0.5,0.08118588951974215,0.00029095993465663554,5.190454751913929e-05,9.9579398387443,9.20639583079826
7,500,1.5,0.5,0.08060243557254815,0.0009319939131469882,4.427134464192278e-05,7.926377397169305,9.452059089367358
8,500,0.5,0.75,0.06507772819109543,0.0009100002517702675,6.36856575118829e-05,2.0835831350193406,9.534822382126212
9,500,0.75,0.75,0.06766057154064795,0.0006055737448645792,5.965538395332609e-05,3.1162915886706584,9.65492633532195
10,500,0.9,0.75,0.06848641054210661,0.0008172367770061354,5.888581784934772e-05,2.737714458921211,9.952449115689006
11,500,0.95,0.75,0.0697187941225087,0.00036830838826048813,5.421255583648322e-05,4.687517777451596,9.24437193907633
12,500,1.05,0.75,0.0701195754473198,0.0007832704397559981,6.7120868819221e-05,2.587071661354332,9.852652643215833
13,500,1.1,0.75,0.07014633351501999,0.0009259600332221754,4.44408725209714e-05,3.505183887159285,8.847879873510577
14,500,1.25,0.75,0.0706373063510938,0.0009999050987642808,3.927001689891892e-05,4.23791802662079,9.176931426295047
15,500,1.5,0.75,0.07164549602896529,0.0007109004587837601,5.207037775199598e-05,4.187780469726675,9.981709692575144
16,500,0.5,0.9,0.06284425127996372,0.0002362978395836213,6.032175026788993e-05,4.027814080816756,9.302228906854612
17,500,0.75,0.9,0.06402820200975702,0.0008527251231823941,5.041620327188729e-05,2.4612988035643086,9.53780731701909
18,500,0.9,0.9,0.06672518587085789,0.00020724966912373554,4.897067401252971e-05,7.371467569766129,9.76713830103293
19,500,0.95,0.9,0.06588841119588644,0.00039888905312814965,6.112633451180602e-05,3.672049543110569,9.68052155197675
20,500,1.05,0.9,0.06590359819808662,0.0008229669296039626,5.504097036552177e-05,2.6373499607653352,9.816088147339222
21,500,1.1,0.9,0.06750053054864262,0.00020354839403141902,5.406092772095593e-05,5.954665239453931,9.02904057596085
22,500,1.25,0.9,0.06809138346023605,0.00034058027293599184,5.550819270520669e-05,5.01188175893673,9.46143880121529
23,500,1.5,0.9,0.06977859970156974,0.0009186178923980976,3.5807518945704366e-05,4.197873579901741,7.1399559015925425
24,500,0.5,0.95,0.06173026135908767,0.00028046471528606125,6.145695576274833e-05,3.612613122287644,9.524542959730748
25,500,0.75,0.95,0.06325442478838537,0.0007792235571747817,4.189144688073803e-05,2.9478884269856707,9.9426402845547
26,500,0.9,0.95,0.06468084900237282,0.0003247872433185041,5.409973140367343e-05,4.162424859451605,9.697445377541674
27,500,0.95,0.95,0.06505078967800726,0.00035343269786850575,6.011550647781469e-05,4.025783488074409,9.761189486639255
28,500,1.05,0.95,0.06523939121575814,0.0005969592763284399,5.744651795231662e-05,2.926729940070509,9.875971157924745
29,500,1.1,0.95,0.0658555241300679,0.00029623397004303035,4.8875722207881384e-05,5.116068337294809,9.811151067099566
30,500,1.25,0.95,0.06812257300968129,0.0003395901466129574,8.649587937313336e-05,3.226579934085674,9.68704047492532
31,500,1.5,0.95,0.06791998136837424,0.00026602901849204056,3.819053014801946e-05,8.581840495320934,9.939976273955088
32,500,0.5,1.05,0.06017287510665563,0.0005024428251260068,9.11758259464926e-05,1.796141062732776,9.477303440899638
33,500,0.75,1.05,0.06185487340005442,0.0005850912853046278,6.838745008196328e-05,2.190594237050648,9.834571805475875
34,500,0.9,1.05,0.06334039352250574,8.57680219928612e-05,5.325013922706227e-05,9.755439795036946,9.319711624095827
35,500,0.95,1.05,0.06366869146397536,0.0006716161741616278,4.596963558480951e-05,3.0763782316384822,9.019514735250363
36,500,1.05,1.05,0.06311663396210353,0.0009946695385947078,4.674646125012457e-05,2.4838788399472973,9.651013914196165
37,500,1.1,1.05,0.0647226122639461,9.205110393224778e-05,5.7784500145716144e-05,9.154703323348057,9.248421800376304
38,500,1.25,1.05,0.06509921879997187,0.0002456243907182562,4.689089250014465e-05,6.053857446359125,9.715077624732302
39,500,1.5,1.05,0.06611735825564605,0.0007781941616071392,3.6600459097238804e-05,4.532529878056515,9.84942467702843
40,500,0.5,1.1,0.05986726400070691,0.00016521499648884287,5.772965826637735e-05,4.539607805523202,9.994219417159934
