,Unnamed: 0,num_iters,best_losses,best_params,k1,k2,theta1,theta2
0,0,100,0.0670499417071099,"{'k1': 3.8467390019150856e-05, 'k2': 3.848651697486581e-05, 'theta1': 9.780107714043691, 'theta2': 5.438416326050954}",3.8467390019150856e-05,3.848651697486581e-05,9.780107714043691,5.438416326050954
1,1,100,0.0639757593463051,"{'k1': 5.070825492149435e-05, 'k2': 3.270033905687246e-05, 'theta1': 6.4119897399571615, 'theta2': 3.58076492572712}",5.070825492149435e-05,3.270033905687246e-05,6.4119897399571615,3.58076492572712
2,2,100,0.1011918654415282,"{'k1': 7.411981294049182e-05, 'k2': 9.902350286936166e-05, 'theta1': 4.096425661772099, 'theta2': 4.550150690743342}",7.411981294049182e-05,9.902350286936166e-05,4.096425661772099,4.550150690743342
3,3,100,0.064433720200541,"{'k1': 5.742168108698471e-05, 'k2': 2.9783904139109094e-05, 'theta1': 9.87925383920918, 'theta2': 1.6880419297850549}",5.742168108698471e-05,2.9783904139109094e-05,9.87925383920918,1.6880419297850549
4,4,100,0.0777976718644677,"{'k1': 2.829086517556234e-05, 'k2': 4.555223750767905e-05, 'theta1': 1.1468607029024276, 'theta2': 5.8865699077757325}",2.829086517556234e-05,4.555223750767905e-05,1.1468607029024276,5.8865699077757325
5,5,100,0.066701778025518,"{'k1': 6.52669305615474e-05, 'k2': 3.050269906355597e-05, 'theta1': 2.1713248232206133, 'theta2': 7.758881541146561}",6.52669305615474e-05,3.050269906355597e-05,2.1713248232206133,7.758881541146561
6,6,100,0.0632316575803122,"{'k1': 5.233952559860489e-05, 'k2': 2.3260056040220147e-05, 'theta1': 3.397323155265526, 'theta2': 0.5767977054491076}",5.233952559860489e-05,2.3260056040220147e-05,3.397323155265526,0.5767977054491076
7,7,100,0.0875498157002863,"{'k1': 4.6187328983369785e-05, 'k2': 8.534394982699447e-05, 'theta1': 1.5155507390096994, 'theta2': 1.2464387902675003}",4.6187328983369785e-05,8.534394982699447e-05,1.5155507390096994,1.2464387902675003
8,8,100,0.1084075774334654,"{'k1': 0.00011065640541001583, 'k2': 8.014307605789888e-05, 'theta1': 7.244718135571652, 'theta2': 9.262658445834589}",0.00011065640541001583,8.014307605789888e-05,7.244718135571652,9.262658445834589
9,9,100,0.0701999764358565,"{'k1': 3.5908002134711105e-05, 'k2': 4.371741938721893e-05, 'theta1': 3.6217531521835316, 'theta2': 5.257336708856206}",3.5908002134711105e-05,4.371741938721893e-05,3.6217531521835316,5.257336708856206
