,num_iters,best_losses,best_params
0,100,0.07215852959275622,"{'k1': 0.00040877208633587753, 'k2': 2.935861586434056e-05, 'theta1': 4.030762528705107, 'theta2': 6.353876071061331}"
1,100,0.07317537948219546,"{'k1': 0.00037461957035515484, 'k2': 2.3481159433266103e-05, 'theta1': 8.079859827033536, 'theta2': 8.595340943660437}"
2,100,0.07050045472869228,"{'k1': 0.0002720951472896765, 'k2': 2.4136793905431823e-05, 'theta1': 7.379629678186116, 'theta2': 9.72509697564274}"
3,100,0.07247618697812697,"{'k1': 0.0004185026166337098, 'k2': 3.164467775851435e-05, 'theta1': 3.281859685091692, 'theta2': 4.091832330403794}"
4,100,0.07370704505959419,"{'k1': 0.0009400130953209911, 'k2': 2.8035406498951116e-05, 'theta1': 1.842703406412749, 'theta2': 4.233123006049147}"
5,100,0.07220734793027425,"{'k1': 0.0003566765736527238, 'k2': 3.114847300233246e-05, 'theta1': 3.6429936052888987, 'theta2': 7.549410997314076}"
6,100,0.07027924258806273,"{'k1': 0.000368373460988169, 'k2': 2.1158952981995173e-05, 'theta1': 6.953509245489525, 'theta2': 8.993369343852418}"
7,100,0.07059174820969641,"{'k1': 0.00013861618037676123, 'k2': 2.3517166825276167e-05, 'theta1': 9.452083900111434, 'theta2': 0.062051296143304846}"
8,100,0.07424924534545244,"{'k1': 0.0004941723325710154, 'k2': 3.682684960313359e-05, 'theta1': 2.070100619738535, 'theta2': 6.845787648353632}"
9,100,0.07824665305922807,"{'k1': 0.0008510219168022175, 'k2': 4.4263646612703166e-05, 'theta1': 1.0439101515740048, 'theta2': 7.699269718652615}"
10,200,0.07004885260782757,"{'k1': 0.00035355373567694536, 'k2': 2.0743697725457035e-05, 'theta1': 8.52883897132915, 'theta2': 5.669793075406673}"
11,200,0.07028399299440138,"{'k1': 0.0007394811749441571, 'k2': 1.8518636817278134e-05, 'theta1': 8.415267707689534, 'theta2': 0.6895475699058009}"
12,200,0.07027731423118458,"{'k1': 0.00027203982346763714, 'k2': 2.013726719194742e-05, 'theta1': 9.720060675584692, 'theta2': 5.246481859006625}"
13,200,0.07086576108766514,"{'k1': 0.0009938452629476627, 'k2': 2.0881930589373042e-05, 'theta1': 3.7264064819876404, 'theta2': 0.41864669242643743}"
14,200,0.07007160853839262,"{'k1': 0.00039295828244491674, 'k2': 2.2617479726537443e-05, 'theta1': 6.254561502980851, 'theta2': 5.518709604604946}"
15,200,0.07004717337986155,"{'k1': 0.000557736161461909, 'k2': 1.9863163268739118e-05, 'theta1': 6.950280180300517, 'theta2': 6.633377724372899}"
16,200,0.06999437472656722,"{'k1': 0.0001906245440189848, 'k2': 2.2139118132045883e-05, 'theta1': 9.992582064771906, 'theta2': 6.0004199110368255}"
