,circuit,loss,k1,k2,theta1,theta2,Circuit
0,"((0, 0, 1), (1, 0, 0))",123581706.19779763,2.906075195563107,2.0665297743992093,8.847685968760155,5.886371519258559,Downstream Activation
1,"((0, 0, 1), (1, 0, 0))",50759089.0697682,1.8624814552516822,2.0519637521058707,0.6184675905335142,0.7455879691192402,Downstream Activation
2,"((0, 0, 1), (1, 0, 0))",63764786.08124831,2.0874692516490683,2.6244116744106982,9.029323630517826,8.774384975052872,Downstream Activation
3,"((0, 0, 1), (1, 0, 0))",190778426.15509447,3.610649531513332,2.4408154453855317,5.1431605697689005,0.029397421065159322,Downstream Activation
4,"((0, 0, 1), (1, 0, 0))",214718750.04391015,3.830472158144299,1.790554611084216,5.69584285467698,5.2791881093087945,Downstream Activation
5,"((0, 0, 1), (1, 0, 0))",61709939.67117955,2.053563769395989,3.2922866750508586,5.486891838280206,9.106482959039704,Downstream Activation
6,"((0, 0, 1), (1, 0, 0))",13911826.423096754,0.975084006451763,0.781706649048639,9.981667854371496,9.742728901936031,Downstream Activation
7,"((0, 0, 1), (1, 0, 0))",143688.43995194364,0.0991460713101133,0.7480126427581071,4.314861601629143,5.3048293055379565,Downstream Activation
8,"((0, 0, 1), (1, 0, 0))",320035444.31896776,4.676495243796892,0.690835559325682,1.8746751514246194,9.53763045130332,Downstream Activation
9,"((0, 0, 1), (1, 0, 0))",24374721.594005074,1.2906265102428327,2.490420049848444,8.235775111624502,0.4589048998706086,Downstream Activation
10,"((0, 0, 1), (1, 0, 0))",4118741.908048309,0.5305572661081682,3.149331273458208,3.204428039433789,2.6463348365823403,Downstream Activation
11,"((0, 0, 1), (1, 0, 0))",187372796.5871738,3.5782805879694415,4.9347874483825525,6.958692429731705,0.22081256132632865,Downstream Activation
12,"((0, 0, 1), (1, 0, 0))",202593047.45406976,3.720861669253754,0.9380094770488977,9.810282483451095,3.138133887940434,Downstream Activation
13,"((0, 0, 1), (1, 0, 0))",27108806.922888443,1.3611181123652596,0.5697028108572967,4.508698000374928,0.05745648722582144,Downstream Activation
14,"((0, 0, 1), (1, 0, 0))",170477031.57829684,3.4131514193670447,4.371409352965719,5.067728090369722,2.6798303788428415,Downstream Activation
15,"((0, 0, 1), (1, 0, 0))",87500043.67664832,2.4452919735261176,4.91093293854996,6.385214094959375,1.6885412946047347,Downstream Activation
16,"((0, 0, 1), (1, 0, 0))",57167556.982348345,1.9765346026268804,1.3737141968023734,8.282312399700718,6.030285802229961,Downstream Activation
17,"((0, 0, 1), (1, 0, 0))",171255926.38137653,3.4209035039743845,2.2969917150088035,6.530937063971476,2.4296980431758253,Downstream Activation
18,"((0, 0, 1), (1, 0, 0))",14933562.451305132,1.0102432278577542,2.490290193182764,1.680421500086822,8.667661202561554,Downstream Activation
19,"((0, 0, 1), (1, 0, 0))",1348544.1984062085,0.30357765722477986,1.9574927497701817,4.576292557408875,1.0642842171790106,Downstream Activation
20,"((0, 0, 1), (1, 0, 0))",138449.03993560697,0.0973417779558173,0.11047391326981482,3.7912853054080227,7.238777733338345,Downstream Activation
21,"((0, 0, 1), (1, 0, 0))",9271.2821838319,0.02524766757871913,0.02799511440105716,3.530129119751378,7.421354292083909,Downstream Activation
