,circuit,loss,k1,k2,theta1,theta2,Circuit
0,"((0, 1, 0), (1, 0, 0))",831919.608727256,0.8494737295719886,0.13163287113379418,5.365875273438106,6.856327746562254,Dual Control
1,"((0, 1, 0), (1, 0, 0))",3860565.4360355213,2.1399670981109233,1.66813110694873,1.449892280253072,2.7973084616723214,Dual Control
2,"((0, 1, 0), (1, 0, 0))",116693568.40577035,4.6219035633502195,4.564000417451409,5.697820677398191,4.986014430357662,Dual Control
3,"((0, 1, 0), (1, 0, 0))",9074562.51306157,3.7098534500099296,3.207361722897825,1.6815804811422086,5.249945526960539,Dual Control
4,"((0, 1, 0), (1, 0, 0))",42257757.16849289,2.1874353346358415,2.6162971608951717,5.320415291207264,1.1705980728573855,Dual Control
5,"((0, 1, 0), (1, 0, 0))",15431130.08481781,2.021735630567538,3.539251041679671,4.349787855733099,7.843391758351116,Dual Control
6,"((0, 1, 0), (1, 0, 0))",14976503.855479004,1.3862275031700595,3.4567590342313865,7.4105831059012734,8.565471230696241,Dual Control
7,"((0, 1, 0), (1, 0, 0))",15895509.069520306,1.2091978430155232,1.0232949795178559,9.545598201979871,1.0497070155920831,Dual Control
8,"((0, 1, 0), (1, 0, 0))",194667.86312918368,1.9711119949478046,2.405842369195072,0.5871510002500039,7.975168441531916,Dual Control
9,"((0, 1, 0), (1, 0, 0))",15761464.467929954,3.961077548376313,0.4970574082362099,5.599142798572632,7.1437524585346335,Dual Control
10,"((0, 1, 0), (1, 0, 0))",3528724.455398032,1.6070095345364521,0.284557547565177,4.14820212749375,2.6022242084055196,Dual Control
11,"((0, 1, 0), (1, 0, 0))",50477.63782828286,0.7516243314754265,2.275827472854234,0.524480657019883,7.128399357549101,Dual Control
12,"((0, 1, 0), (1, 0, 0))",123647069.52649556,4.211134389336081,2.5156008247106283,9.724125377355186,5.9779692198798875,Dual Control
13,"((0, 1, 0), (1, 0, 0))",5093271.2589615015,0.9478887550771404,1.569594738319732,4.079825000805554,3.6400402825782807,Dual Control
14,"((0, 1, 0), (1, 0, 0))",63837094.071657196,3.712358841600552,1.7803826838953858,4.762055732756052,0.9513054341994363,Dual Control
15,"((0, 1, 0), (1, 0, 0))",92332555.37441652,4.449650342778846,3.1281119150595065,7.013317209942841,7.482529565443475,Dual Control
16,"((0, 1, 0), (1, 0, 0))",427222.62932420603,4.113951497985909,3.9392896143219733,0.5265733084533416,9.485759423746432,Dual Control
17,"((0, 1, 0), (1, 0, 0))",3308059.2927478836,0.914565819395157,0.6947386940105336,5.400673407097303,6.027667747470819,Dual Control
18,"((0, 1, 0), (1, 0, 0))",11072488.904890742,2.710572114763479,0.35591644786426346,7.6065630274924505,8.733260958966174,Dual Control
19,"((0, 1, 0), (1, 0, 0))",94821305.26726316,2.883435590034572,3.9940796924061126,8.568646461969475,1.8044282492008108,Dual Control
20,"((0, 1, 0), (1, 0, 0))",7.009215274996597,0.11024225513137642,2.1360767105283207,0.0378272702460129,9.672961034276218,Dual Control
21,"((0, 1, 0), (1, 0, 0))",259273.9362059309,0.278821109337927,2.0703570422977013,2.7876331194749517,9.727895711266502,Dual Control
22,"((0, 1, 0), (1, 0, 0))",0.33579989656830717,0.006035536176329306,1.2877054138631692,0.009543214327209879,9.79074810396281,Dual Control
23,"((0, 1, 0), (1, 0, 0))",17941.67640123911,0.05695308045924952,1.2013213253814339,2.865744470952519,9.744522366858478,Dual Control
24,"((0, 1, 0), (1, 0, 0))",18.679593914287786,0.3853436033750819,1.1540042131103072,0.038261184227905976,8.95011340471322,Dual Control
25,"((0, 1, 0), (1, 0, 0))",13673.906564738616,0.07426258218635917,0.8529679042515179,1.9508482117060435,9.151947562089276,Dual Control
26,"((0, 1, 0), (1, 0, 0))",600852.1819186892,0.5220420845700152,1.9641184127517324,2.740900824733685,9.915742507920843,Dual Control
27,"((0, 1, 0), (1, 0, 0))",4145376.3626125315,3.169659180898281,2.8608012127600575,1.1596282675024765,4.164768181308316,Dual Control
