,circuit,loss,k1,k2,theta1,theta2,Circuit
0,"((0, 1, 0), (0, 0, 1))",36325107.002694845,1.83773290174618,3.980022036219705,4.1202996772341365,6.4922863639601065,Upstream Repression
1,"((0, 1, 0), (0, 0, 1))",82382293.22697504,3.2111750894615376,4.200036409027116,3.7822060954029437,1.5464000727411662,Upstream Repression
2,"((0, 1, 0), (0, 0, 1))",32680400.958750274,2.3119848002896775,3.4749046985534284,2.4331051369077565,0.8642188366208893,Upstream Repression
3,"((0, 1, 0), (0, 0, 1))",150979712.9401356,3.4823295049777934,4.187007013554224,9.914277761779406,2.3955927672592345,Upstream Repression
4,"((0, 1, 0), (0, 0, 1))",67050258.10646982,4.891249078165708,0.7345816599478885,7.461732707172236,0.6175608991552631,Upstream Repression
5,"((0, 1, 0), (0, 0, 1))",36106023.584812805,1.780589075819538,2.758180515146411,6.1921840215133,5.222722381615778,Upstream Repression
6,"((0, 1, 0), (0, 0, 1))",641951.2076705829,0.20951602394655225,3.921741575455011,7.280965818175583,4.270222256414753,Upstream Repression
7,"((0, 1, 0), (0, 0, 1))",27934314.536782727,1.5520286198304831,4.41087876288948,3.938030248753215,8.739520499864085,Upstream Repression
8,"((0, 1, 0), (0, 0, 1))",582017.0567370853,0.32363555947131395,3.1256170345374494,0.4238374011616547,5.079835941742801,Upstream Repression
9,"((0, 1, 0), (0, 0, 1))",16440426.099729417,2.0638215672907374,1.061391285173475,3.647071396292994,7.172775470617275,Upstream Repression
10,"((0, 1, 0), (0, 0, 1))",30735213.334889863,1.734574224129226,3.5369934753684427,3.897636983123504,0.517336386089477,Upstream Repression
11,"((0, 1, 0), (0, 0, 1))",115922544.26584439,2.9976363477080317,4.377279447892401,9.785531820851267,5.402619668989113,Upstream Repression
12,"((0, 1, 0), (0, 0, 1))",36331575.57956113,2.4946620614783876,3.595312157063312,2.3934060145731655,4.824939409747308,Upstream Repression
13,"((0, 1, 0), (0, 0, 1))",4272313.350614018,2.5808903392960687,0.7385294415832514,1.424918808544716,1.4173905450681117,Upstream Repression
14,"((0, 1, 0), (0, 0, 1))",6889233.765672724,0.7842290069785108,1.3468259507870861,5.4689052816977854,5.962658427063549,Upstream Repression
15,"((0, 1, 0), (0, 0, 1))",42399963.886871025,1.985561526381892,4.430358689498981,4.019179940207275,6.23403300129595,Upstream Repression
16,"((0, 1, 0), (0, 0, 1))",9903008.878101416,4.094705351772777,0.12697981589252427,8.88170601782746,0.3412819427218583,Upstream Repression
17,"((0, 1, 0), (0, 0, 1))",20875964.395957395,1.2800033526306558,2.568032512289653,7.169483708799879,8.979037782858997,Upstream Repression
18,"((0, 1, 0), (0, 0, 1))",1463969.8706902724,3.6362278998351374,2.3644290609651053,0.2039520063543155,6.993800901308594,Upstream Repression
19,"((0, 1, 0), (0, 0, 1))",21571722.595003746,1.5698523662744197,0.7733097302121548,9.408101244516601,6.349013160335205,Upstream Repression
20,"((0, 1, 0), (0, 0, 1))",5960.390667878661,0.015482011866773615,4.9756233094201345,8.097383820547467,3.5303540402448332,Upstream Repression
21,"((0, 1, 0), (0, 0, 1))",85123.22584724108,0.07522410464792881,4.99989200203289,8.361180424194789,3.326122000284654,Upstream Repression
22,"((0, 1, 0), (0, 0, 1))",8443609.65997229,0.7655910191737447,4.85006449436035,8.531361534595536,3.32719273859451,Upstream Repression
23,"((0, 1, 0), (0, 0, 1))",31641.344920594867,0.04470897833932505,4.987236208327878,8.163445332233335,3.4478814793955648,Upstream Repression
24,"((0, 1, 0), (0, 0, 1))",7177448.990877478,0.7442546872756446,1.885703478104091,6.368236864456366,3.5562218462869035,Upstream Repression
25,"((0, 1, 0), (0, 0, 1))",19586683.823343877,1.1788046900904363,4.806369517123089,8.037128555892952,2.5722251916710093,Upstream Repression
26,"((0, 1, 0), (0, 0, 1))",2927967.5371602788,0.4532739546310065,3.060966801819955,6.168611165686066,4.091962867900536,Upstream Repression
27,"((0, 1, 0), (0, 0, 1))",197146259.64735338,4.735927532244496,4.733537825199399,5.383376027784263,2.13437662783637,Upstream Repression
28,"((0, 1, 0), (0, 0, 1))",9189.268776910969,0.02370056183776594,2.051846948330065,4.878954309074924,2.9871163348068865,Upstream Repression
29,"((0, 1, 0), (0, 0, 1))",8056985.1942579495,1.0705294530176623,1.994602399803771,2.399494878909191,7.740575557848392,Upstream Repression
30,"((0, 1, 0), (0, 0, 1))",4143708.7976461384,0.5800452574331236,1.6789224303037091,4.654107642132905,1.7522879371102091,Upstream Repression
31,"((0, 1, 0), (0, 0, 1))",46713.304232094786,0.0560510271826906,2.154899385149557,2.941603909024849,4.2976162384668735,Upstream Repression
