,circuit,loss,k1,k2,theta1,theta2,Circuit
0,"((0, 0, 1), (1, 0, 0))",0.4006452637818035,0.0004981912401720704,0.000683470617475386,3.6494544944186136,1.3338755931647097,Downstream Activation
1,"((0, 0, 1), (0, 0, 1))",0.6664620721786825,0.0006507548826835288,0.0005801628144859973,0.599167918924083,9.689045246303293,No Control
2,"((0, 0, 1), (0, 0, 1))",0.5073599828666023,0.0008074031300877861,0.00016072028499723652,6.89642470189575,8.062948945573844,No Control
3,"((0, 1, 0), (0, 0, 1))",0.6532259024940621,4.843486387814108e-06,0.000760594334183726,3.4156336969252927,4.783635617107732,Upstream Repression
4,"((0, 1, 0), (0, 0, 1))",0.2896337846888918,0.00037418021749390445,0.00021262987297637848,4.683471543322707,6.074454609947191,Upstream Repression
5,"((0, 1, 0), (0, 0, 1))",0.4367727339623279,0.00012922508073559197,0.0007173150153664888,8.562453260560359,2.893777791220753,Upstream Repression
6,"((0, 1, 0), (1, 0, 0))",0.0934236795406944,0.0003486121733575416,0.0002658586046050723,0.8853645205683272,7.413944950108808,Dual Control
7,"((0, 0, 1), (0, 0, 1))",0.32847869926752565,0.0005689749386843386,6.0939951437809445e-05,7.602251059543417,3.855422523857086,No Control
8,"((0, 1, 0), (1, 0, 0))",0.28169181067631544,0.0004407930840413669,0.0007893765824071697,5.365313298121912,3.8618639802319734,Dual Control
9,"((0, 1, 0), (1, 0, 0))",0.4073023778231512,0.0007032599221544458,0.0008628118576561053,8.947239934701141,6.280938352483761,Dual Control
10,"((0, 0, 1), (1, 0, 0))",0.4767879795570955,0.0008358588698891644,0.00015001192383118923,0.7297691624617471,3.4130909931954787,Downstream Activation
11,"((0, 1, 0), (0, 0, 1))",0.5334740989716596,6.692655142657865e-05,0.0009705019146739264,3.4468912424397558,6.473605167959735,Upstream Repression
12,"((0, 1, 0), (1, 0, 0))",0.45839438151756334,0.0009906090032501204,0.0003511913334620495,7.667720851435458,7.141752364821998,Dual Control
13,"((0, 1, 0), (0, 0, 1))",0.6612507578302207,0.0007837790806099239,0.0005312318365817753,3.268605095120556,4.662629413512214,Upstream Repression
14,"((0, 1, 0), (1, 0, 0))",0.2057991654961174,0.0005314301168018629,0.0009279368924477255,1.1812216384444165,2.994321333120993,Dual Control
15,"((0, 0, 1), (1, 0, 0))",0.31950260433530825,0.0005820043937717514,4.232739348650462e-05,8.706371840150283,8.532156883876263,Downstream Activation
16,"((0, 1, 0), (1, 0, 0))",0.40631297357889495,0.0007359054653863663,0.0008311979226000535,7.394599758940191,6.576819866151382,Dual Control
17,"((0, 1, 0), (1, 0, 0))",0.17053963995417437,0.0003038133964714144,0.000874325440073622,3.7151986505578387,6.464069487003461,Dual Control
18,"((0, 0, 1), (0, 0, 1))",0.9049034158542753,0.0007295295381204857,0.0009617244165487075,2.8366252298771273,7.314622109835109,No Control
19,"((0, 0, 1), (0, 0, 1))",0.8235488130314561,0.0007261332750656655,0.0008007192259010294,3.871052208339396,4.636685872539882,No Control
20,"((0, 1, 0), (1, 0, 0))",0.44763841520850933,5.197746095498423e-05,2.4845252236497893e-05,0.5423242471637542,9.690716335823948,Dual Control
21,"((0, 1, 0), (1, 0, 0))",0.07668685748196184,0.00021343665385605205,0.00031627522125451295,2.934992923642858,9.40113769742618,Dual Control
22,"((0, 1, 0), (1, 0, 0))",0.0786030178150739,0.00011436132798318193,0.00026776619290122083,2.4805940640573256,9.586741831676985,Dual Control
23,"((0, 1, 0), (1, 0, 0))",0.4248787523090873,2.5115299237368397e-06,0.00010415052624051236,3.2291995969631806,9.742917040568571,Dual Control
24,"((0, 1, 0), (1, 0, 0))",0.2994935980750175,0.00016541603201014864,0.0005233500011632811,2.628773431323537,0.20644603609582113,Dual Control
25,"((0, 1, 0), (1, 0, 0))",0.09963704790826364,0.00017374906618083385,0.0005249965005495179,4.414919803791855,8.701016343541678,Dual Control
26,"((0, 1, 0), (1, 0, 0))",0.08412179749434628,0.00016697873813081293,0.0002606408182239502,1.8030241164502248,9.987327880839816,Dual Control
27,"((0, 0, 1), (1, 0, 0))",0.10293980924594703,2.042523419171449e-05,0.0009975334160027523,9.703751419516752,9.26718049107261,Downstream Activation
28,"((0, 0, 1), (1, 0, 0))",0.09042838507804465,2.5613147969826618e-05,0.0004513079507887676,5.8637776389623,6.429291646303966,Downstream Activation
29,"((0, 1, 0), (1, 0, 0))",0.07437371030810545,6.011057627177289e-05,0.000387969044163372,5.544878848399033,8.721154200496338,Dual Control
30,"((0, 1, 0), (1, 0, 0))",0.14924374282870032,0.0002988505659740672,0.00041236133602742743,5.703651828611065,8.439747535700157,Dual Control
31,"((0, 1, 0), (1, 0, 0))",0.09051240359130538,5.900304678021747e-05,0.0006128046590378163,6.525181251736287,4.913596793576933,Dual Control
32,"((0, 0, 1), (0, 0, 1))",0.23308320653081716,4.778171975758003e-05,0.00037701320714641107,9.99267308151066,0.35414955069780074,No Control
33,"((0, 0, 1), (1, 0, 0))",0.7683542351487637,0.000977247683250497,0.0009862201796471122,0.2451955119881175,0.5324803799712896,Downstream Activation
34,"((0, 1, 0), (0, 0, 1))",0.37779220955996917,0.0009934513834789927,2.087915703707509e-05,0.0724883713616924,9.379252322899449,Upstream Repression
35,"((0, 1, 0), (1, 0, 0))",0.08020340599664967,0.00023823382830435088,0.00014643607310187962,4.416375402372238,8.578911485748005,Dual Control
36,"((0, 0, 1), (0, 0, 1))",0.41635180394065907,0.0001983420699656612,0.0005953473997674099,0.09600325691670619,0.28798881246500585,No Control
37,"((0, 1, 0), (0, 0, 1))",0.41547914471765973,0.0006033519446728955,0.0002236617399987044,9.65342700150283,0.12259218011093775,Upstream Repression
