,circuits,k1,k2,theta1,theta2,loss,Circuit,pc1,pc2,tsne1,tsne2
0,"[(0, 0, 1), (1, 0, 0)]",2.0,0.0,2.0918411387454577e-05,0.0008547542119155678,0.8999208171150622,Downstream Activation,1.534543411466827,-1.3899797461069983,1.6814288,-14.100407
1,"[(1, 0, 0), (1, 0, 0)]",0.0,0.0,0.00040822482463643726,0.0004521902680329869,0.9260060223474113,Invalid Circuit,-0.004750948897221299,-0.05545516918625567,-2.209141,-9.286996
2,"[(0, 1, 0), (0, 1, 0)]",1.0,1.0,5.315691506106328e-05,0.00014564220240559386,0.21222025940171826,Invalid Circuit,-0.8517782704673119,-1.2201028964009548,-3.1348846,-2.317232
3,"[(0, 0, 1), (0, 1, 0)]",2.0,1.0,0.0007146633460282851,0.0005203393456714347,1.3149375986323584,Invalid Circuit,1.3938882575384919,0.028634301478995004,10.410381,-1.4001219
4,"[(0, 1, 0), (1, 0, 0)]",1.0,0.0,0.000964276029761847,0.00034779360795019956,1.3763187195461746,Dual Control,1.3610398541256916,0.28045222810744524,5.4810853,-6.6857014
5,"[(0, 0, 1), (0, 0, 1)]",2.0,2.0,1e-07,3.6705026828642993e-06,0.49279616313415514,No Control,-1.019981034412815,-1.5553505350961674,-6.0575466,0.69511575
6,"[(0, 1, 0), (1, 0, 0)]",1.0,0.0,1e-07,0.00016755777990516287,0.656626697738068,Dual Control,-0.27983666082969927,-1.857204885454039,-2.1631503,-5.887508
7,"[(0, 1, 0), (0, 0, 1)]",1.0,2.0,1e-07,1e-07,0.4930048353394057,Upstream Repression,-1.7625560100830329,-0.971680345778402,-6.0210767,2.610141
8,"[(1, 0, 0), (0, 0, 1)]",0.0,2.0,1e-07,1e-07,0.49300483533940453,Invalid Circuit,-2.4996871214788148,-0.3827324706341276,-13.034244,12.538045
9,"[(0, 1, 0), (0, 0, 1)]",1.0,2.0,1e-07,0.001,1.4890678769590018,Upstream Repression,-0.2380312102188134,0.5063070769037131,-9.198056,-2.402964
10,"[(0, 1, 0), (0, 1, 0)]",1.0,1.0,1.0389383178639775e-07,9.772339009132746e-05,0.5863702630403547,Invalid Circuit,-1.0000061900464485,-1.39389710833866,-3.4705582,-1.6514106
11,"[(1, 0, 0), (0, 0, 1)]",0.0,2.0,9.285622241137993e-05,5.6196086430522145e-05,0.16368592368376664,Invalid Circuit,-2.2827387487854702,-0.11979634872952284,-10.646062,12.461161
12,"[(1, 0, 0), (0, 0, 1)]",0.0,2.0,0.00016651674481421043,0.00010089581231870877,0.2904088162668,Invalid Circuit,-2.110221538708786,0.08923404399993823,-9.640348,12.522078
13,"[(0, 1, 0), (0, 1, 0)]",1.0,1.0,0.00011342056227651377,0.00020003290072739485,0.3355810364837392,Invalid Circuit,-0.683466570824088,-1.0227481930813103,-3.29378,-2.7584498
14,"[(1, 0, 0), (0, 0, 1)]",0.0,2.0,0.000322123609663938,0.0001932512135179359,0.5547123945567906,Invalid Circuit,-1.7489406381832338,0.5277449957618028,-7.5848613,11.66337
15,"[(0, 1, 0), (0, 1, 0)]",1.0,1.0,1e-07,1.604324855716118e-07,0.4913031429825538,Invalid Circuit,-1.1487637305707186,-1.5381159107571885,-2.9749625,-1.281971
16,"[(0, 1, 0), (0, 1, 0)]",1.0,1.0,0.0006941759011739502,0.0009717350919770333,1.7594473056793256,Invalid Circuit,1.3159627204124509,1.2450447105809423,3.998253,3.2964172
17,"[(1, 0, 0), (0, 0, 1)]",0.0,2.0,3.798105000978045e-05,1.1910917236688117e-05,0.0700790483003963,Invalid Circuit,-2.4280082166200687,-0.29175592157990454,-11.211556,12.789864
18,"[(0, 1, 0), (0, 1, 0)]",1.0,1.0,0.001,0.001,2.1188220617841944,Invalid Circuit,1.79235882348939,1.880358389637801,4.059761,4.7090015
19,"[(0, 0, 1), (0, 0, 1)]",2.0,2.0,0.00012284955161571116,0.000256014771100141,0.4024435114708024,No Control,-0.4613220239104397,-0.9441228983737942,-5.1393037,0.52764505
