,circuits,k1,k2,theta1,theta2,loss,Circuit
0,"[(0, 1, 0), (1, 0, 0)]",1.0,0.0,0.0007926267278000297,0.0005688271387459885,1.446507742011311,Dual Control
1,"[(0, 1, 0), (1, 0, 0)]",1.0,0.0,0.00046019224838827946,0.0007055255704021279,1.235422140511477,Dual Control
2,"[(0, 1, 0), (1, 0, 0)]",1.0,0.0,0.00016719043277547326,0.0008638183723716694,1.0615718672580408,Dual Control
3,"[(0, 1, 0), (0, 0, 1)]",1.0,2.0,0.000539360664403219,0.0005235699065346362,1.1403444903722006,Upstream Repression
4,"[(0, 1, 0), (0, 0, 1)]",1.0,2.0,0.0005390206841768984,0.00062662434329034,1.245513597971923,Upstream Repression
5,"[(0, 1, 0), (1, 0, 0)]",1.0,0.0,1.0033800082661051e-05,0.0008985562266453921,0.9713952249971074,Dual Control
6,"[(0, 1, 0), (1, 0, 0)]",1.0,0.0,1e-07,0.0009368334233511315,1.4259013143253738,Dual Control
7,"[(0, 1, 0), (1, 0, 0)]",1.0,0.0,0.00019365226146871964,0.0003319402836722089,0.5607466203190727,Dual Control
8,"[(0, 1, 0), (1, 0, 0)]",1.0,0.0,0.00017284022014940967,0.00030471911512583075,0.5094364179565295,Dual Control
9,"[(0, 1, 0), (1, 0, 0)]",1.0,0.0,0.00017871963140900094,0.00029421202926056524,0.505826680102992,Dual Control
10,"[(0, 1, 0), (1, 0, 0)]",1.0,0.0,1e-07,0.001,1.489067871005403,Dual Control
11,"[(0, 1, 0), (1, 0, 0)]",1.0,0.0,0.00019750857114566832,0.00021550980041461305,0.4502019068469004,Dual Control
12,"[(0, 1, 0), (1, 0, 0)]",1.0,0.0,0.0008756345108841311,0.00027403575164421145,1.2047737427907714,Dual Control
13,"[(0, 1, 0), (1, 0, 0)]",1.0,0.0,1e-07,0.001,1.4890678760871552,Dual Control
14,"[(0, 1, 0), (1, 0, 0)]",1.0,0.0,0.000202925598025236,0.00019088359038539355,0.42991536237646266,Dual Control
15,"[(0, 1, 0), (1, 0, 0)]",1.0,0.0,0.0005948324614235822,0.0003573142802431641,1.0146346065323795,Dual Control
16,"[(0, 1, 0), (1, 0, 0)]",1.0,0.0,0.0009375435098861749,6.731039678252873e-05,1.0279943803963816,Dual Control
17,"[(0, 1, 0), (0, 0, 1)]",1.0,2.0,0.0008991390286849693,0.0001565194667216305,1.094725981416474,Upstream Repression
18,"[(0, 1, 0), (1, 0, 0)]",1.0,0.0,9.417737827146036e-05,0.0006795220322884818,0.7922912553876051,Dual Control
19,"[(0, 1, 0), (1, 0, 0)]",1.0,0.0,0.0007703577654507234,0.0005301280929000078,1.3818323499746992,Dual Control
20,"[(0, 1, 0), (1, 0, 0)]",1.0,0.0,0.0007847106703487318,0.0006986792805281938,1.5791664932350946,Dual Control
21,"[(0, 1, 0), (1, 0, 0)]",1.0,0.0,0.0008969800956032426,0.0007961021794501573,1.797573411235945,Dual Control
22,"[(0, 1, 0), (1, 0, 0)]",1.0,0.0,0.0001078377911342815,0.0007327593615132791,0.8614314161171851,Dual Control
23,"[(0, 1, 0), (1, 0, 0)]",1.0,0.0,0.0002647446753511336,1e-07,0.7537866297389799,Dual Control
24,"[(0, 1, 0), (1, 0, 0)]",1.0,0.0,0.0006429925850305394,0.0007057815389376094,1.4392777253024251,Dual Control
25,"[(0, 1, 0), (1, 0, 0)]",1.0,0.0,0.0008386400604958328,0.0007766613853944579,1.7175375494574852,Dual Control
26,"[(0, 1, 0), (1, 0, 0)]",1.0,0.0,0.00019398922579281545,0.0003227573916423749,0.5519953062653613,Dual Control
27,"[(0, 1, 0), (1, 0, 0)]",1.0,0.0,0.0004588976208495903,1e-07,0.9479391834986968,Dual Control
28,"[(0, 1, 0), (1, 0, 0)]",1.0,0.0,0.00035728850445542127,0.0007748746888255217,1.1893456494805603,Dual Control
29,"[(0, 1, 0), (1, 0, 0)]",1.0,0.0,0.00017302140421702051,0.0007366633988832718,0.9411930300043261,Dual Control
30,"[(0, 1, 0), (1, 0, 0)]",1.0,0.0,0.0001462498577433371,0.0006674198384774389,0.8408856562754344,Dual Control
31,"[(0, 1, 0), (1, 0, 0)]",1.0,0.0,9.166855619302685e-05,0.0006283764538489257,0.7382367492397293,Dual Control
32,"[(0, 1, 0), (1, 0, 0)]",1.0,0.0,0.000860555151998681,0.0003523248672339137,1.2770047860512324,Dual Control
33,"[(0, 1, 0), (1, 0, 0)]",1.0,0.0,0.00016648631939207573,0.0008576385620849673,1.0545767896608202,Dual Control
34,"[(0, 1, 0), (1, 0, 0)]",1.0,0.0,0.00017916392624043237,0.00026692885605037034,0.47924162454069835,Dual Control
35,"[(0, 1, 0), (1, 0, 0)]",1.0,0.0,1e-07,0.0006858341383506624,1.1749021104744366,Dual Control
36,"[(0, 1, 0), (1, 0, 0)]",1.0,0.0,0.000903523099000901,0.0007264911319082256,1.7293057464134685,Dual Control
37,"[(0, 0, 1), (0, 0, 1)]",2.0,2.0,7.08290004272254e-06,0.0006953385716134645,0.7974154481503226,No Control
38,"[(0, 1, 0), (1, 0, 0)]",1.0,0.0,0.00019610621164902335,0.0004964207773565991,0.7277426641008395,Dual Control
39,"[(0, 1, 0), (1, 0, 0)]",1.0,0.0,0.0006157205891691171,0.0007619965526345068,1.4647591907088688,Dual Control
40,"[(0, 1, 0), (1, 0, 0)]",1.0,0.0,0.00028061836649724954,0.00020799502366138702,0.5290561331498737,Dual Control
41,"[(0, 1, 0), (1, 0, 0)]",1.0,0.0,0.00018426305025374476,0.00026088167488603375,0.4792222691285187,Dual Control
42,"[(0, 1, 0), (1, 0, 0)]",1.0,0.0,1e-07,0.0007375043341435136,1.226572283415167,Dual Control
43,"[(0, 1, 0), (1, 0, 0)]",1.0,0.0,0.00017251857435156002,0.0002974399369294227,0.5018119070657235,Dual Control
44,"[(0, 1, 0), (1, 0, 0)]",1.0,0.0,1e-07,0.0007469851635943245,1.2360531098614107,Dual Control
45,"[(0, 1, 0), (1, 0, 0)]",1.0,0.0,0.0005010575534500646,8.653423975657418e-05,0.6127512943674899,Dual Control
46,"[(0, 1, 0), (1, 0, 0)]",1.0,0.0,1e-07,0.001,1.4890678741027572,Dual Control
47,"[(0, 1, 0), (1, 0, 0)]",1.0,0.0,0.000876643757633831,0.0007633354216503397,1.741824179495553,Dual Control
48,"[(0, 1, 0), (1, 0, 0)]",1.0,0.0,9.808534487281847e-05,0.000357140691591899,0.4745182903917969,Dual Control
49,"[(0, 1, 0), (1, 0, 0)]",1.0,0.0,0.00020748056259892658,1e-07,0.6965227654538009,Dual Control
50,"[(0, 1, 0), (1, 0, 0)]",1.0,0.0,0.00021321775570573736,1e-07,0.7022599289523508,Dual Control
51,"[(0, 1, 0), (1, 0, 0)]",1.0,0.0,0.00021742218500592,1e-07,0.7064643379907871,Dual Control
52,"[(0, 1, 0), (1, 0, 0)]",1.0,0.0,0.00022019847673731765,1e-07,0.709240615176989,Dual Control
53,"[(0, 1, 0), (1, 0, 0)]",1.0,0.0,0.00022173005566835283,1e-07,0.7107721856978927,Dual Control
54,"[(0, 1, 0), (1, 0, 0)]",1.0,0.0,0.00022214978484373172,1e-07,0.7111919140001861,Dual Control
55,"[(0, 1, 0), (1, 0, 0)]",1.0,0.0,0.00022156816870543211,1e-07,0.7106102993039156,Dual Control
56,"[(0, 1, 0), (1, 0, 0)]",1.0,0.0,0.0002194189945672914,1e-07,0.7084611358092487,Dual Control
57,"[(0, 1, 0), (1, 0, 0)]",1.0,0.0,0.0002160372050547674,1e-07,0.7050793643944087,Dual Control
58,"[(0, 1, 0), (1, 0, 0)]",1.0,0.0,0.00021036005042886178,1e-07,0.6994022381411072,Dual Control
59,"[(0, 1, 0), (1, 0, 0)]",1.0,0.0,0.00020390708189387227,1e-07,0.6929493100209191,Dual Control
60,"[(0, 1, 0), (1, 0, 0)]",1.0,0.0,0.00019659608892811273,1e-07,0.6856383647091577,Dual Control
61,"[(0, 1, 0), (1, 0, 0)]",1.0,0.0,0.00018508927705207943,1e-07,0.674131621719284,Dual Control
62,"[(0, 1, 0), (1, 0, 0)]",1.0,0.0,0.00017195480128668125,1e-07,0.6609972370305619,Dual Control
63,"[(0, 1, 0), (1, 0, 0)]",1.0,0.0,0.00015215054516992457,1e-07,0.6411931677133733,Dual Control
64,"[(0, 0, 1), (0, 0, 1)]",2.0,2.0,1e-07,0.001,1.489067875982672,No Control
65,"[(0, 1, 0), (1, 0, 0)]",1.0,0.0,0.00017091204714328185,1e-07,0.659954490804955,Dual Control
66,"[(0, 1, 0), (1, 0, 0)]",1.0,0.0,0.00015401790236573362,1e-07,0.6430605019991551,Dual Control
67,"[(0, 1, 0), (1, 0, 0)]",1.0,0.0,0.00013092087481338756,1e-07,0.6199637359798575,Dual Control
68,"[(0, 1, 0), (1, 0, 0)]",1.0,0.0,9.647217827066851e-05,1e-07,0.5855156695519304,Dual Control
69,"[(0, 1, 0), (1, 0, 0)]",1.0,0.0,5.191262392018485e-05,1e-07,0.5409581173680775,Dual Control
70,"[(0, 1, 0), (1, 0, 0)]",1.0,0.0,1e-07,1e-07,0.49300483533942213,Dual Control
71,"[(0, 1, 0), (0, 0, 1)]",1.0,2.0,0.00092645180706023,0.0005911259402991536,1.6056504136157792,Upstream Repression
72,"[(0, 1, 0), (1, 0, 0)]",1.0,0.0,1e-07,1.5460463596209207e-06,0.4907550576160967,Dual Control
73,"[(0, 1, 0), (1, 0, 0)]",1.0,0.0,0.00023273148848189788,0.00031440711702561695,0.5886960329081651,Dual Control
74,"[(0, 0, 1), (1, 0, 0)]",2.0,0.0,0.0005265451148792334,0.0003661001696106935,0.9553025230917342,Downstream Activation
75,"[(0, 1, 0), (1, 0, 0)]",1.0,0.0,1e-07,1e-07,0.4930048353394062,Dual Control
76,"[(0, 0, 1), (0, 0, 1)]",2.0,2.0,0.00012763869451946496,0.000519170768447736,0.6709819225134305,No Control
77,"[(0, 0, 1), (0, 0, 1)]",2.0,2.0,6.326868254320043e-05,0.0005099586569320282,0.5873868442851278,No Control
