,circuit,initialization,loss,k1_trace,k2_trace,n1_trace,n2_trace,theta1_trace,theta2_trace,time,loss_auc
0,nc,100,0.4011802350212034,0.0002904127351709757,0.0004568063607680837,1.222225608204007,3.5211060075274774,7.998689725302735,4.901095760778757,4.049209833145142,7.793232425101487
1,nc,100,0.329967526921381,0.00021617385474593663,0.000401379393337828,1.225781735194867,3.519836318870259,8.001883273213826,4.903051027871044,4.049209833145142,7.793232425101487
2,nc,100,0.2715115534781677,0.00014356031270928462,0.0003687843603947069,1.202732707862938,3.546352793923058,8.005430042043182,4.8996268501343225,4.049209833145142,7.793232425101487
3,nc,100,0.21655563325756144,0.00010214946994205326,0.00030433866819998105,1.1749247848917617,3.537035487874646,7.999720590910125,4.899280167818596,4.049209833145142,7.793232425101487
4,nc,100,0.1682850914565062,6.590793073996541e-05,0.00024029668000805516,1.144488690810069,3.595417444213242,7.998280554822775,4.899935877682258,4.049209833145142,7.793232425101487
5,nc,100,0.12302736427361588,3.800816353611866e-05,0.00015305692137633975,1.164438577819805,3.603370546406394,8.001149854368958,4.901742226732368,4.049209833145142,7.793232425101487
6,nc,100,0.09136646767955872,4.212328187778534e-05,9.206916470844332e-05,1.1981748373709944,3.6423588009681525,8.00596091307741,4.898149579316105,4.049209833145142,7.793232425101487
7,nc,100,0.06348762804009951,5.475620651496839e-05,2.6808219707084887e-05,1.1900037205945782,3.6052436724233576,7.999533302248396,4.897910827154956,4.049209833145142,7.793232425101487
8,nc,100,0.06258165803918209,4.296316731102863e-05,2.5778831376993758e-05,1.260805611058437,3.56136871033698,7.9971035699121495,4.902739475694747,4.049209833145142,7.793232425101487
9,nc,100,0.06254688872724642,4.622850015969502e-05,2.6940707707608953e-05,1.2478162762655418,3.5808078706047604,8.004732445920498,4.908757290048337,4.049209833145142,7.793232425101487
0,nc,99,0.36454889716644145,0.00011984087821978261,0.0005815577325404575,1.7083350832641175,2.3221439821344925,9.537974976539301,6.359223292566343,4.46206521987915,8.12847472237976
1,nc,99,0.3132363187102099,6.621761235895986e-05,0.0005301126511860569,1.7270168300815663,2.2837052540574936,9.532828283606339,6.359383313437126,4.46206521987915,8.12847472237976
2,nc,99,0.2739212884561745,4.5255437200278096e-05,0.0004584962319886623,1.750188725898639,2.235402917498565,9.53674584375174,6.35886470479984,4.46206521987915,8.12847472237976
3,nc,99,0.2360516258844833,4.8371319942050895e-05,0.00038294232641647745,1.7723550471262823,2.22020493424924,9.54036071539762,6.363611118640096,4.46206521987915,8.12847472237976
4,nc,99,0.19072703927895426,6.035851952393945e-05,0.0002885444385752631,1.8007808065425102,2.228541052363046,9.540892765856901,6.362982442375372,4.46206521987915,8.12847472237976
5,nc,99,0.14667667566923523,5.4384942523873496e-05,0.0002029546391017632,1.7752002376378893,2.2717031785015873,9.54097872779443,6.3618841299418785,4.46206521987915,8.12847472237976
6,nc,99,0.1146132569899677,7.989812989020581e-05,0.00012136276119008215,1.793884312558545,2.3054383733944626,9.539250234536807,6.358874286416062,4.46206521987915,8.12847472237976
7,nc,99,0.07347550800418412,7.823645496713883e-05,3.7971961918934255e-05,1.79465077481007,2.268822552324724,9.53648238072239,6.3619333812864065,4.46206521987915,8.12847472237976
8,nc,99,0.0631458552663483,4.41495674899074e-05,3.022562734389443e-05,1.7452266369923506,2.199582657307111,9.536973342377735,6.36582833392667,4.46206521987915,8.12847472237976
9,nc,99,0.0631458552663483,4.41495674899074e-05,3.022562734389443e-05,1.7452266369923506,2.199582657307111,9.536973342377735,6.36582833392667,4.46206521987915,8.12847472237976
0,nc,98,0.8483885947519616,0.0008519412198693606,0.0007234603012002517,3.223334589820592,1.6548678951319369,7.724145832449561,0.3095160806245465,7.805633783340454,28.962141417193138
1,nc,98,0.7871017936053645,0.0008134697707801676,0.0006479491119501018,3.1767499985638374,1.6560658605406642,7.72622378272546,0.31098121169177395,7.805633783340454,28.962141417193138
