,Circuit,Computational Time,Best Loss,Loss AUC,k1,k2,n1,n2,theta1,theta2,pc1,pc2,tsne1,tsne2
0,Downstream Activation,10.534406185150146,0.0771442539347872,17.81879648932005,4.563084818209117e-05,0.0006582297875678,1.321756363799575,3.529644423927766,8.80785708699278,5.5857317150286265,1.3134853502791828,4.626334987127439,12.6618395,10.223112
0,Downstream Activation,3.806561946868897,0.0796162431559978,1.6438081349527471,4.264864441298919e-05,0.000603502672758,3.460494650995233,3.924051846730348,4.926406236648078,4.547179363509723,1.7792177839166514,3.727208470666742,13.310035,9.35449
0,Downstream Activation,9.578094244003296,0.063573798534336,11.873898626884827,5.032744749534098e-05,2.253781288191876e-05,3.7766628877110415,2.333086976519228,7.964706833608445,1.003586082239434,-1.3361720045403773,-0.5024138002379177,6.435856,3.7822912
0,Downstream Activation,5.794737100601196,0.0695052233968868,3.001968412544119,3.987476087733003e-05,0.0002640156249866,2.050531240774218,3.384180713671212,6.614924981707053,6.949692931217261,0.0244457281878891,2.237246111013861,7.374048,-0.60129124
0,Downstream Activation,7.701240062713623,0.0618450746811007,10.616226349520476,4.485657902762438e-05,3.423919237932052e-05,2.5300565695459425,1.393886208361243,3.221330705074072,4.709651982059174,-0.9438899475205341,-0.916360215472347,-4.015548,-5.8331556
0,Downstream Activation,7.684102773666382,0.0636073568049591,5.904614987741876,4.156936680040379e-05,3.19055546268724e-05,2.594516405215823,2.638935187195242,2.367270081423169,3.2613141879791,-0.49814331732392203,-0.39583607347459937,-7.3252254,-4.7181854
0,Downstream Activation,3.851241111755371,0.0660834108665786,1.6826588191050675,4.727296220851233e-05,0.0003187542588804,3.719438216263744,3.900118222084047,4.070797943489393,8.7968582536907,0.1339285624986861,2.4529308940770598,5.320966,1.5397549
0,Downstream Activation,7.280768871307373,0.0618234560488166,7.562149253592922,4.306716052665535e-05,5.235891540090713e-05,1.626288228732701,3.646505837563298,9.308995548028076,8.200317826771606,-1.3189431121398671,1.730501168353437,11.690431,-2.9133883
0,Downstream Activation,13.065984010696411,0.0614297970675489,10.80140393582402,4.133758762821013e-05,3.679325400229164e-05,1.8799560963969235,1.942293809210052,1.0409722345394217,8.512818225832337,-0.6142246794098578,-0.27529964065254087,-6.666856,-10.090777
0,Downstream Activation,5.008558988571167,0.0614862790687495,3.134871668031171,4.6646952694959055e-05,3.2168883241073386e-05,2.6180156934069534,1.2811860095650949,7.818815172545666,5.495872053873335,-1.601144517185436,-0.4548966273792073,1.8493782,-0.707479
0,Downstream Activation,10.027334690093994,0.0625118984364525,8.036679125385632,5.027909341977411e-05,3.351156522909329e-05,3.936539882038309,1.4602338414300138,4.444016942956821,3.66983283802245,-1.1309278380299874,-1.103810789032496,-0.13169138,-11.791011
0,Downstream Activation,11.944917917251589,0.0632172527231086,19.66448115467051,5.005584967249288e-05,2.5002188737508304e-05,3.1019510680567954,2.540423054664931,8.261548245251818,1.1859748607150504,-1.31158232464239,-0.1977549134876835,6.624151,3.5185065
0,Downstream Activation,10.000192880630491,0.0631682378122102,4.503887177426657,4.468272214734036e-05,2.7454070280942505e-05,3.310606985966198,3.3239456738046003,6.923355914706681,3.5403512876544694,-1.0791690702628673,0.3790360262588649,5.258855,-6.1621766
0,Downstream Activation,5.091444969177246,0.0616767033998301,2.745454372225471,4.551793565491675e-05,3.821252169112139e-05,1.7259355560649805,2.311429803832046,7.8526307801971456,7.256459847168405,-1.3710737665585697,0.5595072222058828,8.293892,-2.775325
0,Downstream Activation,11.661242723464966,0.0613023887088923,17.782018778316854,4.792043529781772e-05,3.699241632133791e-05,3.6966009590286393,1.1102857572741087,1.4735622203711918,6.554546678727861,-0.917611981632269,-1.2704951759482686,-2.5834234,-11.324007
0,Downstream Activation,7.523691892623901,0.0628087185113347,5.263744213210022,4.750038682232859e-05,2.5806893871194084e-05,3.2150522143693294,1.9223318931204527,4.522706836018417,3.0377921599614712,-0.9989720805399326,-0.7881510512136745,0.48046392,-12.264214
0,Downstream Activation,10.27145290374756,0.061393680574223,6.646310940837429,4.233665840798465e-05,3.9975520514517314e-05,2.426540764886097,1.980043787588164,6.363183036757195,8.488435155349059,-1.3324871105582698,0.22011523581094056,1.1137881,-2.7320457
0,Downstream Activation,5.871208190917969,0.0717694505794168,4.281382360103052,4.2687831872836105e-05,0.0007037399911607,1.7936389501087626,3.68222799710068,3.5217679162472995,7.526595407240017,1.6236670699754303,4.4950864812415325,12.588052,11.057295
0,Downstream Activation,12.884990930557253,0.0619205914671214,9.617656155254164,4.421468677405353e-05,4.53799441240454e-05,2.852178908352493,3.348253523110863,9.982573067473531,8.061081911822079,-1.557440871336244,1.3543727683311184,7.4304047,-7.398611
0,Downstream Activation,7.666507959365845,0.0622535721225645,8.881747284122481,4.487869412236375e-05,3.980722403576285e-05,2.929796142731323,1.0136854083287197,8.359641103021069,3.937406077029429,-1.642444922546769,-0.7362334937041957,2.3310766,0.70910466
0,Downstream Activation,9.306992769241331,0.0623261995347487,5.951131221979317,4.62075386700112e-05,2.9878893251752e-05,1.9150757093227693,2.235763323134045,6.838611117306835,4.995023785528289,-1.2005431522856518,0.09593184861167219,-1.4988947,-3.2518063
0,Downstream Activation,8.526524782180786,0.0638195223532618,8.605446393625874,5.157980770843847e-05,2.2764729868931888e-05,2.923018576885343,3.6356200711319655,2.890716773802629,1.7147219868399997,-0.39707477377890243,-0.00027695370529621746,-9.613894,-4.9258895
0,Downstream Activation,8.588921070098877,0.0622513069908455,6.232073896590468,4.750013624538241e-05,3.097082366732431e-05,3.755152816926624,2.7879345670431297,4.525722992746513,6.317227598560981,-0.9903457271353568,0.02545016809924493,1.8838192,-9.341264
