Reaction Name,Reactant(s),Product(s),Reaction Rate
,,,
PA1_Chemical_Dilution:,PA1_Chemical,null,PA1_Chemical * PA1_Chemical_dilution_rate
PA2_Chemical_Dilution:,PA2_Chemical,null,PA2_Chemical * PA2_Chemical_dilution_rate
PA3_Chemical_Dilution:,PA3_Chemical,null,PA3_Chemical * PA3_Chemical_dilution_rate
PAF_Chemical_Dilution:,PAF_Chemical,null,PAF_Chemical * PAF_Chemical_dilution_rate
PACA_Chemical_Internal_Dilution:,PACA_Chemical_Internal,null,PACA_Chemical_Internal * PACA_Chemical_Internal_dilution_rate
Chorismate_Chemical_Dilution:,Chorismate_Chemical,null,Chorismate_Chemical * Chorismate_Chemical_dilution_rate
Deaminase_Dilution:,Deaminase,null,Deaminase * Deaminase_dilution_rate
PAF_Loss:,PAF_Chemical,null,PAF_Chemical * PAF_Chemical_loss_rate
Promoter1_Division:,Promoter1,{2}Promoter1,Promoter1 * globalDivisionRate
Promoter1_Dilution:,Promoter1,null,Promoter1 * globalDilutionRate
Promoter2_Division:,Promoter2,{2}Promoter2,Promoter2 * globalDivisionRate
Promoter2_Dilution:,Promoter2,null,Promoter2 * globalDilutionRate
Promoter3_Division:,Promoter3,{2}Promoter3,Promoter3 * globalDivisionRate
Promoter3_Dilution:,Promoter3,null,Promoter3 * globalDilutionRate
Module_Pap_Operon_Pap_Operon_Txn:,null,Pap_Operon_mRNA,Promoter1 * Module_Pap_Operon_Pap_Operon_mRNA_production_rate * Toxicity_Factor
Module_Pap_Operon_Pap_Operon_Dilution:,Pap_Operon_mRNA,null,Pap_Operon_mRNA * Module_Pap_Operon_Pap_Operon_mRNA_dilution_rate
Module_Pap_Operon_Pap_Operon_Degradation:,Pap_Operon_mRNA,null,Pap_Operon_mRNA * Module_Pap_Operon_Pap_Operon_mRNA_degradation_rate
Module_Pap_Operon_PapA_Tsn:,Pap_Operon_mRNA,Pap_Operon_mRNA + PapA_Protein_Unfolded,Pap_Operon_mRNA * Module_Pap_Operon_PapA_protein_production_rate * Toxicity_Factor
Module_Pap_Operon_PapA_Folding:,PapA_Protein_Unfolded,PapA_Protein_Folded,PapA_Protein_Unfolded * Module_Pap_Operon_PapA_protein_folding_rate * Toxicity_Factor
Module_Pap_Operon_PapA_Unf_Dilution:,PapA_Protein_Unfolded,null,PapA_Protein_Unfolded * Module_Pap_Operon_PapA_protein_dilution_rate
Module_Pap_Operon_PapA_Fol_Dilution:,PapA_Protein_Folded,null,PapA_Protein_Folded * Module_Pap_Operon_PapA_protein_dilution_rate
Module_Pap_Operon_PapA_Unf_Degradation:,PapA_Protein_Unfolded,null,PapA_Protein_Unfolded * Module_Pap_Operon_PapA_protein_degradation_rate
Module_Pap_Operon_PapA_Fol_Degradation:,PapA_Protein_Folded,null,PapA_Protein_Folded * Module_Pap_Operon_PapA_protein_degradation_rate
Module_Pap_Operon_PapB_Tsn:,Pap_Operon_mRNA,Pap_Operon_mRNA + PapB_Protein_Unfolded,Pap_Operon_mRNA * Module_Pap_Operon_PapB_protein_production_rate * Toxicity_Factor
Module_Pap_Operon_PapB_Folding:,PapB_Protein_Unfolded,PapB_Protein_Folded,PapB_Protein_Unfolded * Module_Pap_Operon_PapB_protein_folding_rate * Toxicity_Factor
Module_Pap_Operon_PapB_Unf_Dilution:,PapB_Protein_Unfolded,null,PapB_Protein_Unfolded * Module_Pap_Operon_PapB_protein_dilution_rate
Module_Pap_Operon_PapB_Fol_Dilution:,PapB_Protein_Folded,null,PapB_Protein_Folded * Module_Pap_Operon_PapB_protein_dilution_rate
