itr loss theta_0 theta_1
0 0.0059 -0.1 0.1
10 0.0731 -0.0474 0.0713
20 0.0362 -0.0196 0.0551
30 0.0084 0.0036 0.0404
40 0.0013 0.0141 0.0333
50 0.001 0.0161 0.032
60 0.001 0.0163 0.0319
70 0.001 0.0164 0.032
80 0.001 0.0164 0.032
90 0.001 0.0165 0.0321
100 0.001 0.0165 0.0321
110 0.001 0.0166 0.0322
120 0.001 0.0166 0.0322
130 0.001 0.0167 0.0323
140 0.001 0.0168 0.0323
150 0.001 0.0168 0.0324
160 0.001 0.0169 0.0325
170 0.001 0.017 0.0326
180 0.001 0.017 0.0326
190 0.001 0.0171 0.0327
200 0.001 0.0172 0.0328
210 0.001 0.0173 0.0329
220 0.0009 0.0174 0.033
230 0.0009 0.0175 0.0331
240 0.0009 0.0176 0.0332
250 0.0009 0.0177 0.0333
260 0.0009 0.0178 0.0335
270 0.0009 0.0179 0.0336
280 0.0009 0.018 0.0337
290 0.0009 0.0182 0.0339
300 0.0009 0.0183 0.034
310 0.0009 0.0185 0.0342
320 0.0009 0.0186 0.0343
330 0.0009 0.0188 0.0345
340 0.0009 0.0189 0.0347
350 0.0009 0.0191 0.0349
360 0.0009 0.0193 0.0351
370 0.0009 0.0195 0.0353
380 0.0009 0.0197 0.0355
390 0.0009 0.0199 0.0357
400 0.0009 0.0201 0.0359
410 0.0009 0.0204 0.0362
420 0.0009 0.0206 0.0365
430 0.0009 0.0209 0.0367
440 0.0009 0.0212 0.037
450 0.0009 0.0214 0.0373
460 0.0009 0.0218 0.0377
470 0.0009 0.0221 0.038
480 0.0009 0.0224 0.0384
490 0.0009 0.0228 0.0387
500 0.0009 0.0231 0.0391
510 0.0009 0.0235 0.0395
520 0.0009 0.0239 0.04
530 0.0009 0.0243 0.0404
540 0.0009 0.0247 0.041
550 0.0013 0.0207 0.0448
560 0.0032 0.0187 0.0542
570 0.0022 0.0252 0.0541
580 0.0018 0.0281 0.055
590 0.0018 0.0297 0.0565
600 0.0018 0.031 0.0582
610 0.0018 0.0325 0.06
620 0.0018 0.0341 0.0617
630 0.0018 0.0357 0.0633
640 0.0018 0.0373 0.065
650 0.0018 0.0389 0.0667
660 0.0018 0.0404 0.0684
670 0.0018 0.042 0.0701
680 0.0017 0.0436 0.0718
690 0.0017 0.0452 0.0734
700 0.0017 0.0467 0.0751
710 0.0017 0.0483 0.0768
720 0.0017 0.0499 0.0785
730 0.0017 0.0515 0.0802
740 0.0017 0.053 0.0818
750 0.0017 0.0546 0.0835
760 0.0017 0.0562 0.0852
770 0.0017 0.0577 0.0869
780 0.0017 0.0593 0.0886
790 0.0016 0.0609 0.0902
800 0.0016 0.0624 0.0919
810 0.0016 0.064 0.0936
820 0.0016 0.0656 0.0952
830 0.0016 0.0671 0.0969
840 0.0016 0.0687 0.0986
850 0.0016 0.0703 0.1003
860 0.0016 0.0718 0.1019
870 0.0016 0.0734 0.1036
880 0.0016 0.0749 0.1053
890 0.0016 0.0765 0.1069
900 0.0015 0.0781 0.1086
910 0.0015 0.0796 0.1102
920 0.0015 0.0812 0.1119
930 0.0015 0.0827 0.1136
940 0.0015 0.0843 0.1152
950 0.0015 0.0858 0.1169
960 0.0015 0.0874 0.1185
970 0.0015 0.0889 0.1202
980 0.0015 0.0905 0.1218
990 0.0015 0.092 0.1235


GT  : theta_0: 1.0, theta_1: 2.0
Pred: theta_0: 0.1, theta_1: 0.12
