,circuit,loss,k1,k2,theta1,theta2,Circuit,best_losses,Best_Loss_Circuit
0,"((0, 1, 0), (0, 0, 1))",22891689.81650173,4.08672403221668,1.907106067503046,1.6842131050738822,3.6593714137770603,Upstream Repression,1000.0,Initial
1,"((0, 0, 1), (1, 0, 0))",21636361.62758901,1.215994519842128,0.9200484825862075,3.727422555909741,0.32913024303675126,Downstream Activation,1000.0,Initial
2,"((0, 0, 1), (1, 0, 0))",292051338.100375,4.46731220323672,2.1278245013094037,1.9551018896264374,1.487926105288337,Downstream Activation,1000.0,Initial
3,"((0, 1, 0), (0, 0, 1))",17065360.83591642,1.1076045175989848,3.0095888422953605,9.674849239176208,0.07787655684390081,Upstream Repression,1000.0,Initial
4,"((0, 0, 1), (1, 0, 0))",206342099.3646613,3.7549818578547773,4.923349138397042,0.6705602842414918,8.412377367308002,Downstream Activation,1000.0,Initial
5,"((0, 0, 1), (1, 0, 0))",232464860.12147272,3.985652012701202,3.618487824197407,0.08380356460553799,0.04595982326078958,Downstream Activation,1000.0,Initial
6,"((0, 1, 0), (0, 0, 1))",11992535.032980045,0.9207679257291452,4.506930675360726,7.223707437876961,7.9360685267353865,Upstream Repression,1000.0,Initial
7,"((0, 1, 0), (1, 0, 0))",25689179.365564182,2.100165554524782,0.7735282334967981,8.931507216610276,3.8469464992275197,Dual Control,1000.0,Initial
8,"((0, 1, 0), (0, 0, 1))",10675792.69531184,0.8898566902516324,2.9848810996443245,6.265002394960984,9.869784078491687,Upstream Repression,1000.0,Initial
9,"((0, 1, 0), (0, 0, 1))",85803541.20578101,3.2049706855239553,2.3289451070894183,6.4425109022725335,6.293140196406652,Upstream Repression,1000.0,Initial
10,"((0, 1, 0), (1, 0, 0))",143253422.75844935,4.6457187842959,3.9693019759615975,7.540748527065007,5.430163241485338,Dual Control,1000.0,Initial
11,"((0, 1, 0), (0, 0, 1))",88954055.34032255,4.6514888786514215,2.943476078306208,3.276259448704673,4.191323044885407,Upstream Repression,1000.0,Initial
12,"((0, 1, 0), (1, 0, 0))",9057670.255910207,0.8505546119087878,1.0803836658672339,9.692633974565135,0.05949145288211342,Dual Control,1000.0,Initial
13,"((0, 1, 0), (0, 0, 1))",10538634.585582463,2.8326214793268414,1.3506128285147152,1.6024416335774332,9.72731557857295,Upstream Repression,1000.0,Initial
14,"((0, 1, 0), (1, 0, 0))",50731381.8603659,2.9290462725041855,4.153546474662203,4.36518022216524,3.3648289041876853,Dual Control,1000.0,Initial
15,"((0, 0, 1), (0, 0, 1))",273204704.5787624,4.320707080696464,3.1172566908717765,1.9372000900559274,0.45123044878250346,No Control,1000.0,Initial
16,"((0, 0, 1), (0, 0, 1))",10497081.836306948,0.8470181905970933,0.444204656127356,7.615797420738374,2.3380241622265028,No Control,1000.0,Initial
17,"((0, 0, 1), (0, 0, 1))",50784189.77166284,1.862895815087271,4.619718601040424,5.383403293616776,7.248555203747978,No Control,1000.0,Initial
18,"((0, 1, 0), (1, 0, 0))",20616311.497616768,2.0523275695192478,0.961108095865574,5.419692660590578,1.6571861288592058,Dual Control,1000.0,Initial
19,"((0, 1, 0), (1, 0, 0))",3630057.3067782153,4.415746651036533,1.9761022346627037,1.572767688154633,9.045339417363264,Dual Control,1000.0,Initial
20,"((0, 1, 0), (1, 0, 0))",568.470477437059,0.39853145073714935,2.138790746517008,0.1365030186152656,9.654136684428396,Dual Control,568.470477437059,Dual Control
21,"((0, 1, 0), (1, 0, 0))",38673.13754681566,4.857928237665597,2.6368613041376845,0.20360200492385933,9.55705161267789,Dual Control,568.470477437059,Dual Control
22,"((0, 1, 0), (1, 0, 0))",7.274554650229609,0.20672697248975594,2.9003014949384367,0.025492643234550028,9.982745208272563,Dual Control,7.274554650229609,Dual Control
23,"((0, 1, 0), (1, 0, 0))",637.0839325274954,0.09954828142858156,2.914747194064396,0.22580483012861025,7.477122505806181,Dual Control,7.274554650229609,Dual Control
24,"((0, 1, 0), (1, 0, 0))",1541.4468045979133,0.01205322319065072,3.37527870350664,2.261738376205742,7.63871156547264,Dual Control,7.274554650229609,Dual Control
25,"((0, 1, 0), (1, 0, 0))",1091523.870394188,0.9560718432023091,1.8130550686246178,2.474429491837069,9.968180946891643,Dual Control,7.274554650229609,Dual Control
26,"((0, 1, 0), (1, 0, 0))",37456.24781047987,1.0339291164441722,2.1662272494098467,0.41358215985671326,7.665229203324465,Dual Control,7.274554650229609,Dual Control
27,"((0, 0, 1), (0, 0, 1))",180791044.07034117,4.99363906930271,0.12512300361197193,0.6244210553398677,9.939086421584776,No Control,7.274554650229609,Dual Control
28,"((0, 1, 0), (1, 0, 0))",18252.88359669307,0.03946178447591914,3.004438317138103,3.7002106897351426,6.057530406892477,Dual Control,7.274554650229609,Dual Control
29,"((0, 1, 0), (1, 0, 0))",50112141.63167508,3.1953572994061186,4.9143281747138445,5.827500774164015,8.66649301853217,Dual Control,7.274554650229609,Dual Control
30,"((0, 0, 1), (1, 0, 0))",29751.863792066957,0.045158290870411566,0.24932777921379445,9.583301727536352,9.527582188671381,Downstream Activation,7.274554650229609,Dual Control
31,"((0, 1, 0), (1, 0, 0))",882571.6916573535,1.4476250822581924,1.53607498461944,1.4012954698423494,6.404813769793973,Dual Control,7.274554650229609,Dual Control
32,"((0, 0, 1), (1, 0, 0))",81252815.26114327,2.3563927479560234,4.915077630955622,9.431129575020641,5.116444978666281,Downstream Activation,7.274554650229609,Dual Control
33,"((0, 1, 0), (1, 0, 0))",1258164.5493748658,0.5935221643435731,3.5719642718536218,3.125494693243865,9.75917788793993,Dual Control,7.274554650229609,Dual Control
34,"((0, 0, 1), (0, 0, 1))",180651809.1597594,3.513503241767917,1.901836615668303,9.745419576003247,4.46704938278816,No Control,7.274554650229609,Dual Control
35,"((0, 0, 1), (1, 0, 0))",48795.77851139924,0.05775379330736419,3.1831791646379104,6.930083511494256,3.9671192812873013,Downstream Activation,7.274554650229609,Dual Control
36,"((0, 1, 0), (1, 0, 0))",1.5845807065084025,3.8777123344118047,2.4800535001176787,0.0018339883261579287,8.466056076000516,Dual Control,1.5845807065084025,Dual Control
37,"((0, 0, 1), (1, 0, 0))",102024516.16977912,2.640472095003735,1.6588231030425398,6.264826044916758,6.906540500869504,Downstream Activation,1.5845807065084025,Dual Control
38,"((0, 1, 0), (1, 0, 0))",4115576.9537992687,3.8745300994767984,4.69992548095869,1.2757148938776122,8.341858507478879,Dual Control,1.5845807065084025,Dual Control
39,"((0, 1, 0), (0, 0, 1))",13010.182891863817,0.03238384906609282,0.04102976921349066,9.516399835748174,0.01109068508703448,Upstream Repression,1.5845807065084025,Dual Control
40,"((0, 1, 0), (1, 0, 0))",13463048.598828092,3.7900227444577395,0.2820344867419533,6.39863860665892,4.366569317688622,Dual Control,1.5845807065084025,Dual Control
41,"((0, 1, 0), (0, 0, 1))",42641371.35926932,1.9410061242436971,4.885054229362688,4.092894524545286,1.8935261483859969,Upstream Repression,1.5845807065084025,Dual Control
42,"((0, 0, 1), (1, 0, 0))",359390955.8170184,4.95563284388812,3.904717023522106,3.733954266874279,3.4443913051376143,Downstream Activation,1.5845807065084025,Dual Control
43,"((0, 1, 0), (1, 0, 0))",3840850.556020137,3.8357536441280877,2.6335697307136705,1.3099988103941238,6.460773331686066,Dual Control,1.5845807065084025,Dual Control
44,"((0, 0, 1), (0, 0, 1))",606619.601783776,0.20326864813710666,4.896839923177642,3.7791390131092113,9.699773527580819,No Control,1.5845807065084025,Dual Control
45,"((0, 1, 0), (0, 0, 1))",16596.72720846958,4.91474227196211,0.40858395536617387,0.03513895397358091,6.629594102811364,Upstream Repression,1.5845807065084025,Dual Control
46,"((0, 1, 0), (1, 0, 0))",24826299.982119814,2.911155269963416,3.3130263700060403,4.392747228647415,8.152814002645183,Dual Control,1.5845807065084025,Dual Control
47,"((0, 1, 0), (1, 0, 0))",66865246.41204287,4.240934270798984,3.991635545871486,3.140654033302242,2.379423818691988,Dual Control,1.5845807065084025,Dual Control
48,"((0, 0, 1), (0, 0, 1))",68209868.57995248,2.1589572996654156,3.001927992703905,9.90623544021993,0.023331203815670776,No Control,1.5845807065084025,Dual Control
49,"((0, 1, 0), (0, 0, 1))",161241942.39891776,3.760469532733051,4.036479330085046,8.340248960442837,2.1209026293419577,Upstream Repression,1.5845807065084025,Dual Control
50,"((0, 1, 0), (1, 0, 0))",375790.985451592,2.4000071905007836,1.572059420200182,0.7507177435452871,7.0408224531340835,Dual Control,1.5845807065084025,Dual Control
51,"((0, 0, 1), (1, 0, 0))",9740884.899995934,1.172186209580935,0.02904496402522705,8.14120659126153,6.682989273117162,Downstream Activation,1.5845807065084025,Dual Control
52,"((0, 1, 0), (1, 0, 0))",6583579.527598748,3.371724769698524,2.4168618181835044,2.260523358628372,8.953479520176375,Dual Control,1.5845807065084025,Dual Control
53,"((0, 1, 0), (1, 0, 0))",37657366.79317394,1.6907315261441114,4.570760922912983,6.627829086747009,0.1879751472708513,Dual Control,1.5845807065084025,Dual Control
54,"((0, 0, 1), (0, 0, 1))",154690256.7017377,3.2512980565971654,1.4044251436339286,6.968232112644763,6.833236164236597,No Control,1.5845807065084025,Dual Control
55,"((0, 1, 0), (0, 0, 1))",18283141.889038518,1.938686186483293,0.9537143706866082,4.704391717677064,8.354069301911382,Upstream Repression,1.5845807065084025,Dual Control
56,"((0, 1, 0), (1, 0, 0))",54389472.714318715,2.563701935270451,2.861755591477992,8.407945286474522,5.247557338895557,Dual Control,1.5845807065084025,Dual Control
57,"((0, 1, 0), (1, 0, 0))",807374.585256093,3.4538002682982873,3.6034522551763857,0.7627218846731092,9.147459680928817,Dual Control,1.5845807065084025,Dual Control
58,"((0, 1, 0), (1, 0, 0))",6249874.544520222,4.97932665649215,0.1686291663955548,4.70671948442382,4.3726881092249865,Dual Control,1.5845807065084025,Dual Control
59,"((0, 0, 1), (1, 0, 0))",120972909.01347971,2.8752075772629766,1.2226170452312453,4.618090630930539,9.9547476076733,Downstream Activation,1.5845807065084025,Dual Control
60,"((0, 0, 1), (0, 0, 1))",15498775.908568252,1.0291290481595823,4.032659771246198,2.561156540427122,3.164336683981497,No Control,1.5845807065084025,Dual Control
61,"((0, 1, 0), (1, 0, 0))",4771631.388380394,1.5004831757088988,1.3543355713036622,3.6096101151871296,6.959265741696531,Dual Control,1.5845807065084025,Dual Control
62,"((0, 1, 0), (0, 0, 1))",491598.09345584654,0.2093904850868058,3.8898752715235743,0.6620508717259881,1.5686081329246715,Upstream Repression,1.5845807065084025,Dual Control
63,"((0, 1, 0), (1, 0, 0))",35178934.69025902,4.203374422565934,0.6837636952593109,7.9793914872583045,8.339215637532718,Dual Control,1.5845807065084025,Dual Control
64,"((0, 1, 0), (1, 0, 0))",4922190.595370542,2.242292090723442,2.351060485770718,2.014962795647247,5.760053536735606,Dual Control,1.5845807065084025,Dual Control
65,"((0, 1, 0), (1, 0, 0))",82.26575423103542,0.30593062641921415,1.9396163407174551,0.07256585108376207,9.796847636685118,Dual Control,1.5845807065084025,Dual Control
66,"((0, 1, 0), (1, 0, 0))",43801.43908413325,0.3423451466940485,3.2418788659175988,0.8405051808071137,9.947425255768279,Dual Control,1.5845807065084025,Dual Control
67,"((0, 1, 0), (1, 0, 0))",3397619.3561061844,1.8755048439843782,1.73860561580738,2.7397627150356483,9.399408071375909,Dual Control,1.5845807065084025,Dual Control
68,"((0, 1, 0), (1, 0, 0))",290582.1293929614,0.7135923594600084,1.172156191942869,1.7992491689781474,9.950979278235222,Dual Control,1.5845807065084025,Dual Control
69,"((0, 1, 0), (1, 0, 0))",1365004.6594268165,0.34808982374612074,2.0556456778211905,9.606813819430517,8.650972695990783,Dual Control,1.5845807065084025,Dual Control
70,"((0, 1, 0), (1, 0, 0))",283159.54930826934,1.181869873834569,2.6301268912289735,0.89251813365617,8.042168044070262,Dual Control,1.5845807065084025,Dual Control
71,"((0, 1, 0), (1, 0, 0))",115858.81023921726,2.8275817293649785,3.774681287225391,0.17519003752932816,2.7132473993157262,Dual Control,1.5845807065084025,Dual Control
72,"((0, 1, 0), (1, 0, 0))",145.75707112028763,4.669038269529763,4.246108164316669,0.017487206156421867,9.265511709645493,Dual Control,1.5845807065084025,Dual Control
73,"((0, 0, 1), (1, 0, 0))",26600673.740729317,1.3482674407052981,2.7611201108744092,2.0552251972706888,2.2984054706122974,Downstream Activation,1.5845807065084025,Dual Control
74,"((0, 1, 0), (1, 0, 0))",510.9046756470384,1.1748214729728048,0.5983710704725913,0.09421213206456922,7.124509782170152,Dual Control,1.5845807065084025,Dual Control
75,"((0, 0, 1), (0, 0, 1))",316415803.82209057,4.650017302878478,1.0416092066357237,0.30773198501705146,7.607337282728055,No Control,1.5845807065084025,Dual Control
76,"((0, 1, 0), (1, 0, 0))",436848.9925826645,0.557481743790937,2.9121883758253704,1.6766775386106836,7.856366145213599,Dual Control,1.5845807065084025,Dual Control
77,"((0, 1, 0), (1, 0, 0))",3240385.637122018,2.6317442337774066,2.2528334409556825,0.601704241399595,0.7950883883028261,Dual Control,1.5845807065084025,Dual Control
78,"((0, 1, 0), (0, 0, 1))",37370080.81435143,2.2591093911237166,3.6490463478109794,2.840239478236153,4.825121154095262,Upstream Repression,1.5845807065084025,Dual Control
79,"((0, 0, 1), (1, 0, 0))",51065118.74373994,1.8680708605309744,4.336361114098054,6.4817500987236425,6.2292827981570404,Downstream Activation,1.5845807065084025,Dual Control
80,"((0, 1, 0), (1, 0, 0))",3946322.518546091,1.9883519020085814,0.9254728808734622,3.6982819436406604,9.99939882572567,Dual Control,1.5845807065084025,Dual Control
81,"((0, 0, 1), (0, 0, 1))",133915037.19170259,3.025078652466685,3.7147691039560113,7.9799559496841415,1.499873348729543,No Control,1.5845807065084025,Dual Control
82,"((0, 1, 0), (1, 0, 0))",34640.343220943,0.20015359969382565,1.970257336643533,1.145635966999346,8.81602663030634,Dual Control,1.5845807065084025,Dual Control
83,"((0, 1, 0), (1, 0, 0))",1689901.3814462537,0.8427950433352902,3.083398490067903,2.8047359084017227,9.419016935514628,Dual Control,1.5845807065084025,Dual Control
84,"((0, 1, 0), (0, 0, 1))",116372133.9489783,4.162234235537229,1.5704287841562048,8.222219159576257,6.008092218900108,Upstream Repression,1.5845807065084025,Dual Control
85,"((0, 1, 0), (1, 0, 0))",80.65267682564352,4.551419583801577,1.7397513800027664,0.011752305282026866,4.691534823762549,Dual Control,1.5845807065084025,Dual Control
86,"((0, 0, 1), (1, 0, 0))",164895943.50214213,3.3567914039895643,0.6359952725328542,8.19707565951483,8.745650762548202,Downstream Activation,1.5845807065084025,Dual Control
87,"((0, 1, 0), (1, 0, 0))",53901143.20383207,4.668066787601581,1.266767140844678,5.2001549904440525,3.5681770974323106,Dual Control,1.5845807065084025,Dual Control
88,"((0, 0, 1), (0, 0, 1))",141588.05520060207,0.09804638292917867,2.2625504211784295,4.5385505354968325,5.339102322451361,No Control,1.5845807065084025,Dual Control
89,"((0, 1, 0), (1, 0, 0))",110004558.29625532,4.411504352614431,2.503504561749384,7.139300403533285,4.328269499014278,Dual Control,1.5845807065084025,Dual Control
90,"((0, 1, 0), (0, 0, 1))",10222273.36646071,1.446582880065368,0.5555066494390268,5.756457953144291,3.153954653771983,Upstream Repression,1.5845807065084025,Dual Control
91,"((0, 1, 0), (1, 0, 0))",558810.4314494386,4.918622075805958,1.6653830132648895,0.48283244482239157,4.833432756650418,Dual Control,1.5845807065084025,Dual Control
92,"((0, 0, 1), (1, 0, 0))",6614483.693928847,0.6723580990693918,2.292556989630002,1.7583509894314693,1.735689297449063,Downstream Activation,1.5845807065084025,Dual Control
93,"((0, 1, 0), (1, 0, 0))",15712227.000562929,3.5977973393094014,2.7754601962317333,1.812922853049753,2.895670217367327,Dual Control,1.5845807065084025,Dual Control
94,"((0, 0, 1), (0, 0, 1))",32701656.59663607,1.4949014451797522,0.688474149369682,5.992368783417132,8.74584276509368,No Control,1.5845807065084025,Dual Control
95,"((0, 1, 0), (1, 0, 0))",12623685.853483012,4.037915240869864,2.1802629057650424,1.2608732616023905,1.4011058506267529,Dual Control,1.5845807065084025,Dual Control
96,"((0, 1, 0), (1, 0, 0))",6467004.897587857,3.208654752649836,1.4650329220460485,2.2334294941641586,5.953515695235605,Dual Control,1.5845807065084025,Dual Control
97,"((0, 1, 0), (0, 0, 1))",147984203.44022086,3.5151037270188366,4.539136892339089,8.238286073636932,8.445862971983654,Upstream Repression,1.5845807065084025,Dual Control
98,"((0, 1, 0), (1, 0, 0))",11195029.354984604,4.425367178401368,0.43716427570366734,3.9927076103287793,4.909282520094342,Dual Control,1.5845807065084025,Dual Control
99,"((0, 1, 0), (1, 0, 0))",9588084.901686458,3.588018572830351,0.9745375167535373,3.17376082557926,6.600168749584701,Dual Control,1.5845807065084025,Dual Control
100,"((0, 0, 1), (1, 0, 0))",349533094.5620357,4.88725375258218,1.5452410480695071,5.166014125396747,7.889054758122612,Downstream Activation,1.5845807065084025,Dual Control
101,"((0, 1, 0), (1, 0, 0))",56647753.53085555,3.1460801561179697,3.5315775964185585,5.971296091968017,5.654368992449079,Dual Control,1.5845807065084025,Dual Control
102,"((0, 0, 1), (0, 0, 1))",231206758.03517413,3.9748447625120775,1.5237293339625468,8.890272978618814,5.245677262535837,No Control,1.5845807065084025,Dual Control
103,"((0, 1, 0), (1, 0, 0))",33268429.5358038,4.485914844889346,3.2450626979147055,2.6048784976167063,4.067808447872791,Dual Control,1.5845807065084025,Dual Control
